Job_Role,Skills
AI Engineer,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, APIs, Git"
Machine Learning Engineer,"Python, Machine Learning, Scikit-learn, TensorFlow, PyTorch, SQL, Docker, Git"
Deep Learning Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Neural Networks, CUDA, Computer Vision"
Generative AI Engineer,"Python, Generative AI, LLM, Transformers, NLP, LangChain, APIs, Vector Databases"
NLP Engineer,"Python, NLP, Transformers, BERT, Hugging Face, Deep Learning, TensorFlow, PyTorch"
Computer Vision Engineer,"Python, Computer Vision, OpenCV, Deep Learning, CNN, PyTorch, TensorFlow"
MLOps Engineer,"Python, Machine Learning, Docker, Kubernetes, MLflow, AWS, CI/CD, Git"
Data Scientist,"Python, SQL, Statistics, Pandas, NumPy, Scikit-learn, Machine Learning, Data Visualization"
Data Analyst,"Python, SQL, Excel, Pandas, Statistics, Power BI, Tableau, Data Visualization"
Data Engineer,"Python, SQL, ETL, Apache Spark, Airflow, Hadoop, AWS, Data Pipelines"
Business Intelligence Analyst,"SQL, Excel, Power BI, Tableau, Data Visualization, Statistics, Reporting"
Research Scientist AI,"Python, Machine Learning, Deep Learning, Mathematics, Statistics, PyTorch, Research"
Cloud Engineer,"AWS, Azure, Cloud Computing, Linux, Networking, Docker, Python, Terraform"
Cloud Architect,"AWS, Azure, Cloud Architecture, Networking, Security, Kubernetes, Terraform"
DevOps Engineer,"Linux, Docker, Kubernetes, AWS, Azure, CI/CD, Jenkins, Git, Terraform"
Cloud DevOps Engineer,"AWS, Azure, Docker, Kubernetes, Linux, CI/CD, Terraform, Git"
Site Reliability Engineer,"Linux, Kubernetes, Docker, Cloud Computing, Monitoring, Python, Networking, DevOps"
Software Engineer,"Python, Java, C++, Data Structures, Algorithms, Git, SQL, Software Development"
Backend Developer,"Python, Java, Node.js, APIs, SQL, PostgreSQL, Django, Flask, Git"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, Python, SQL, Git"
Frontend Developer,"HTML, CSS, JavaScript, React, TypeScript, UI, Git"
Systems Engineer,"Linux, Networking, Python, C++, System Administration, Cloud Computing, SQL"
Database Administrator,"SQL, MySQL, PostgreSQL, Oracle, Database Administration, Backup, Linux"
Cybersecurity Analyst,"Cybersecurity, Networking, Linux, Python, SIEM, Ethical Hacking, Threat Detection"
Software QA Engineer,"Software Testing, Selenium, Python, Java, Automation Testing, SQL, Git, QA"
